単語,意味
in the meantime,一方
inactive,活動していない
incentive,奨励金
include,～を含む
including ~,～を含め
income,収入
increase,増やす、増加
incredibly,信じられないほど
indeed,実に、確かに
independent,独立した
indicate,～を示す、意味する
infect,感染させる
infinitely,無限に、大いに
influence,～に影響を及ぼす
influential,影響力の強い、有力な
initially,当初、初めは
initiate,～を開始する
inspire O to do,Oを励まして～させる
install,～を設置する、取り付ける
instead of ~,～の代わりに
institute,研究所
interaction with ~,～との交流
intriguing,興味をそそる、非常に面白い
invade,～を侵略する
investigate,検証する
invest in ~,～に投資する
involve,～に関連する、～を巻き込む
irreparably,修復できないほど
issue,（重要な）問題（点）
it turns out that ...,…であることがわかる
judge,～を判断する
justify,正当化する
keep O C,OをCにしておく
keep O doing,Oを～させ続ける
keep on doing,～し続ける
keep up with ~,～に遅れずについていく
knock down,倒す
knowledgeable,知識豊かな、博識な
large doses of ~,大量の～
large-print,大きな活字の
last,続く、長持ちする
lawful,法を順守する
lazy,怠惰な
let O do,Oに～させる
lid,ふた
lie awake,目覚めたままでいる、眠らないでいる
life-like,本物そっくりの、生きているような
limit,～を制限する
line up,一列に並ぶ
liquid,液体
